year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
1927,1928,1,Best Actor,Male,Emil Jannings,White,The Last Command,TRUE
1927,1928,1,Best Actress,Female,Janet Gaynor,White,7th Heaven,TRUE
1928,1929,2,Best Actor,Male,Warner Baxter,White,In Old Arizona,TRUE
1928,1929,2,Best Actress,Female,Mary Pickford,White,Coquette,TRUE
1929,1930,3,Best Actor,Male,George Arliss,White,Disraeli,TRUE
1929,1930,3,Best Actress,Female,Norma Shearer,White,The Divorcee,TRUE
1930,1931,4,Best Actor,Male,Lionel Barrymore,White,A Free Soul,TRUE
1930,1931,4,Best Actress,Female,Marie Dressler,White,Min and Bill,TRUE
1931,1932,5,Best Actor,Male,Wallace Beery,White,The Champ,TRUE
1931,1932,5,Best Actor,Male,Fredric March,White,Dr. Jekyll and Mr. Hyde,TRUE
1931,1932,5,Best Actress,Female,Helen Hayes,White,The Sin of Madelon Claudet,TRUE
1932,1933,6,Best Actor,Male,Charles Laughton,White,The Private Life of Henry VIII,TRUE
1932,1933,6,Best Actress,Female,Katharine Hepburn,White,Morning Glory,TRUE
1934,1935,7,Best Actor,Male,Clark Gable,White,It Happened One Night,TRUE
1934,1935,7,Best Actress,Female,Claudette Colbert,White,It Happened One Night,TRUE
1935,1936,8,Best Actor,Male,Victor McLaglen,White,The Informer,TRUE
1935,1936,8,Best Actress,Female,Bette Davis,White,Dangerous,TRUE
1936,1937,9,Best Actor,Male,Paul Muni,White,The Story of Louis Pasteur,TRUE
1936,1937,9,Best Actor in supporting role,Male,Walter Brennan,White,Come and Get It,TRUE
1936,1937,9,Best Actress,Female,Luise Rainer,White,The Great Ziegfeld,TRUE
1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Female,Gale Sondergaard,White,Anthony Adverse,TRUE
1937,1938,10,Best Actor,Male,Spencer Tracy,White,Captains Courageous,TRUE
1937,1938,10,Best Actor in supporting role,Male,Joseph Schildkraut,White,The Life of Emile Zola,TRUE
1937,1938,10,Best Actress,Female,Luise Rainer,White,The Good Earth,TRUE
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Female,Alice Brady,White,In Old Chicago,TRUE
1938,1939,11,Best Actor,Male,Spencer Tracy,White,Boys Town,TRUE
1938,1939,11,Best Actor in supporting role,Male,Walter Brennan,White,Kentucky,TRUE
1938,1939,11,Best Actress,Female,Bette Davis,White,Jezebel,TRUE
1938,1939,11,ACTRESS IN A SUPPORTING ROLE,Female,Fay Bainter,White,Jezebel,TRUE
1939,1940,12,Best Actor,Male,Robert Donat,White,"Goodbye, Mr. Chips",TRUE
1939,1940,12,Best Actor in supporting role,Male,Thomas Mitchell,White,Stagecoach,TRUE
1939,1940,12,Best Actress,Female,Vivien Leigh,White,Gone with the Wind,TRUE
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Female,Hattie McDaniel,Black,Gone with the Wind,TRUE
